ERROR:root:2024-01-06 22:18:12.058346 - Exception occurred for symbol: DCR. Error Message: Exchange or symbol not found.
ERROR:root:2024-01-06 22:18:12.173349 - Exception occurred for symbol: HPL. Error Message: Exchange or symbol not found.
ERROR:root:2024-01-06 22:20:25.627634 - Exception occurred for symbol: DCR. Error Message: Exchange or symbol not found.
ERROR:root:2024-01-06 22:20:26.161630 - Exception occurred for symbol: HPL. Error Message: Exchange or symbol not found.
ERROR:root:2024-01-06 22:22:13.019075 - Exception occurred for symbol: HPL. Error Message: Exchange or symbol not found.
ERROR:root:2024-01-06 22:22:13.064078 - Exception occurred for symbol: DCR. Error Message: Exchange or symbol not found.
ERROR:root:2024-01-06 22:44:49.071957 - Exception occurred for symbol: DCR. Error Message: Exchange or symbol not found.
ERROR:root:2024-01-06 22:44:49.338957 - Exception occurred for symbol: HPL. Error Message: Exchange or symbol not found.
ERROR:root:2024-01-06 22:47:23.873257 - Exception occurred for symbol: DCR. Error Message: Exchange or symbol not found.
ERROR:root:2024-01-06 22:47:24.362256 - Exception occurred for symbol: HPL. Error Message: Exchange or symbol not found.
ERROR:root:2024-01-06 22:47:25.042257 - Exception occurred for symbol: GWLC. Error Message: Can't access TradingView's API. HTTP status code: 502. Check for invalid symbol, exchange, or indicators.
ERROR:root:2024-01-06 22:47:25.046261 - Exception occurred for symbol: ENGRO. Error Message: Can't access TradingView's API. HTTP status code: 502. Check for invalid symbol, exchange, or indicators.
ERROR:root:2024-01-06 22:47:25.052259 - Exception occurred for symbol: ATLH. Error Message: Can't access TradingView's API. HTTP status code: 502. Check for invalid symbol, exchange, or indicators.
ERROR:root:2024-01-13 23:18:20.482636 - Exception occurred for symbol: AGIL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:18:20.931583 - Exception occurred for symbol: AGTL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:18:23.059099 - Exception occurred for symbol: ACPL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:18:24.746050 - Exception occurred for symbol: AGHA. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:18:26.535092 - Exception occurred for symbol: AGP. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:18:30.655873 - Exception occurred for symbol: ADAMS. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:18:42.735126 - Exception occurred for symbol: AKGL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:18:43.797091 - Exception occurred for symbol: AIRLINK. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:18:47.293255 - Exception occurred for symbol: AHTM. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:18:47.678253 - Exception occurred for symbol: ALNRS. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:18:48.555189 - Exception occurred for symbol: ANL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:18:50.118178 - Exception occurred for symbol: APL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:19:03.264179 - Exception occurred for symbol: ARPL. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:19:04.820123 - Exception occurred for symbol: ARCTM. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:19:06.924665 - Exception occurred for symbol: ASC. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:19:09.533744 - Exception occurred for symbol: ASHT. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:19:09.581681 - Exception occurred for symbol: ATBA. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:19:11.051681 - Exception occurred for symbol: ASTM. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:19:22.903513 - Exception occurred for symbol: ATLH. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
ERROR:root:2024-01-13 23:19:26.395573 - Exception occurred for symbol: AVN. Error Message: ('Connection aborted.', TimeoutError(10060, 'A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond', None, 10060, None))
