Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector
QNBK,QATAR NATIONAL BANK QPSC,13.92,QAR,0.28818443804033966,889154,0.24878712102454748,128571088361,QAR,8.792319353208692,1.5832,QAR,,4.66954,Finance
IQCD,INDUSTRIES QATAR QPSC,12.22,QAR,0.8250825082508368,1107583,0.5089950726994985,72660501385,QAR,14.136973623322538,0.8644,QAR,-28.134353175922854,6.49459,Non-Energy Minerals
QIBK,QATAR ISLAMIC BANK QPSC,17.99,QAR,1.4092446448703495,1109643,0.7827122934888087,41587602073,QAR,9.761258817145958,1.843,QAR,,4.11932,Finance
ORDS,OOREDOO QPSC,9.925,QAR,-0.2512562814070209,1096041,0.7326454255123664,31718087285,QAR,10.711202244765811,0.9266,QAR,11.504211793020461,5.55443,Communications
QGTS,QATAR GAS TRANSPORT LTD QPSC,4.03,QAR,-1.4669926650366654,4814872,1.0811776252751675,22875749737,QAR,14.11064425770308,0.2856,QAR,8.924485125858137,3.39065,Transportation
MPHC,MESAIEED PETROCHEMICAL HOLDING QPSC,1.782,QAR,0,3930494,0.6430985561617739,22488082421,QAR,22.219451371571076,0.0802,QAR,-36.75078864353313,4.80447,Process Industries
MARK,MASRAF AL RAYAN QPSC,2.385,QAR,-0.041911148365479205,8226093,0.8939744099946985,22040998936,QAR,15.547588005215122,0.1534,QAR,,4.21941,Finance
ERES,EZDAN HOLDING GROUP QPSC,0.821,QAR,1.9875776397515408,22268644,4.179192700084071,21352598461,QAR,210.5128205128205,0.0039,QAR,333.33333333333337,0,Finance
DUBK,DUKHAN BANK QPSC,3.811,QAR,-0.3660130718954309,13033128,0.926443615715332,19910114089,QAR,15.979035639412999,0.2385,QAR,,4.17537,Finance
CBQK,THE COMMERCIAL BANK PSQC,4.1,QAR,-0.5337214944201902,3166685,0.6253329137966188,16593739629,QAR,6.065088757396449,0.676,QAR,,6.09756,Finance
